Station A,Station B,Ligne
Saint-Paul (Le Marais),Porte de Vincennes,Métro 1
Porte de Vincennes,Palais Royal - Musée du Louvre,Métro 1
Palais Royal - Musée du Louvre,Franklin D. Roosevelt,Métro 1
Franklin D. Roosevelt,George V,Métro 1
George V,Hôtel de Ville,Métro 1
Hôtel de Ville,Pont de Neuilly,Métro 1
Pont de Neuilly,Charles de Gaulle - Etoile,Métro 1
Charles de Gaulle - Etoile,Argentine,Métro 1
Argentine,Bérault,Métro 1
Bérault,Concorde,Métro 1
Concorde,Gare de Lyon,Métro 1
Gare de Lyon,Louvre - Rivoli,Métro 1
Louvre - Rivoli,Reuilly - Diderot,Métro 1
Nation,Victor Hugo,Métro 2
Victor Hugo,Père Lachaise,Métro 2
Père Lachaise,Pigalle,Métro 2
Pigalle,Place de Clichy,Métro 2
Place de Clichy,Ménilmontant,Métro 2
Ménilmontant,Colonel Fabien,Métro 2
Colonel Fabien,Courcelles,Métro 2
Courcelles,Alexandre Dumas,Métro 2
Alexandre Dumas,Anvers,Métro 2
Anvers,Avron,Métro 2
Avron,Couronnes,Métro 2
Couronnes,Belleville,Métro 2
Belleville,Charles de Gaulle - Etoile,Métro 2
Charles de Gaulle - Etoile,Philippe Auguste,Métro 2
Philippe Auguste,Rome,Métro 2
Havre-Caumartin,Arts et Métiers,Métro 3
Arts et Métiers,Parmentier,Métro 3
Parmentier,Père Lachaise,Métro 3
Père Lachaise,Quatre Septembre,Métro 3
Quatre Septembre,Rue Saint-Maur,Métro 3
Rue Saint-Maur,Bourse,Métro 3
Bourse,Louise Michel,Métro 3
Louise Michel,Anatole France,Métro 3
Anatole France,République,Métro 3
République,Saint-Lazare,Métro 3
Saint-Lazare,Pont de Levallois - Bécon,Métro 3
Pont de Levallois - Bécon,Europe,Métro 3
Europe,Wagram,Métro 3
Wagram,Réaumur - Sébastopol,Métro 3
Réaumur - Sébastopol,Gallieni,Métro 3
Gallieni,Pereire,Métro 3
Pereire,Opéra,Métro 3
Opéra,Temple,Métro 3
Raspail,Simplon,Métro 4
Simplon,Montparnasse Bienvenue,Métro 4
Montparnasse Bienvenue,Mouton-Duvernet,Métro 4
Mouton-Duvernet,Les Halles,Métro 4
Les Halles,Gare de l'Est,Métro 4
Gare de l'Est,Cité,Métro 4
Cité,Denfert-Rochereau,Métro 4
Denfert-Rochereau,Mairie de Montrouge,Métro 4
