station1,station2,trajet_existe
Louvre - Rivoli,Pont de Neuilly,True
Pont de Neuilly,Saint-Paul (Le Marais),True
Concorde,Saint-Paul (Le Marais),True
Concorde,Palais Royal - Musée du Louvre,True
Gare de Lyon,Palais Royal - Musée du Louvre,True
Argentine,Gare de Lyon,True
Argentine,Charles de Gaulle - Etoile,True
Bérault,Charles de Gaulle - Etoile,True
Bérault,Porte de Vincennes,True
George V,Porte de Vincennes,True
George V,Reuilly - Diderot,True
Hôtel de Ville,Reuilly - Diderot,True
Franklin D. Roosevelt,Hôtel de Ville,True
Cardinal Lemoine,Duroc,True
Cardinal Lemoine,Sèvres - Babylone,True
Porte d'Auteuil,Sèvres - Babylone,True
Porte d'Auteuil,Ségur,True
Maubert - Mutualité,Ségur,True
Mabillon,Maubert - Mutualité,True
Mabillon,Odéon,True
Michel-Ange - Auteuil,Odéon,True
Javel - André Citroën,Michel-Ange - Auteuil,True
Javel - André Citroën,Mirabeau,True
Charles Michels,Mirabeau,True
Charles Michels,La Motte-Picquet - Grenelle,True
Boulogne Pont de Saint-Cloud,La Motte-Picquet - Grenelle,True
Boulogne Pont de Saint-Cloud,Cluny - La Sorbonne,True
Cluny - La Sorbonne,Jussieu,True
Arts et Métiers,Place des Fêtes,True
Place des Fêtes,Pyrénées,True
Goncourt,Pyrénées,True
Belleville,Goncourt,True
Belleville,Mairie des Lilas,True
Mairie des Lilas,Télégraphe,True
Châtelet,Télégraphe,True
Châtelet,Rambuteau,True
Convention,Front Populaire,True
Convention,Mairie d'Issy,True
Mairie d'Issy,Rennes,True
Concorde,Rennes,True
Concorde,Volontaires,True
Pigalle,Volontaires,True
Notre-Dame-de-Lorette,Pigalle,True
Montparnasse Bienvenue,Notre-Dame-de-Lorette,True
Falguière,Montparnasse Bienvenue,True
Falguière,Porte de la Chapelle,True
Marcadet - Poissonniers,Porte de la Chapelle,True
Marcadet - Poissonniers,Saint-Lazare,True
Corentin Celton,Saint-Lazare,True
Aimé Césaire,Corentin Celton,True
Aimé Césaire,Saint-Georges,True
Lamarck - Caulaincourt,Saint-Georges,True
Lamarck - Caulaincourt,Marx Dormoy,True
Jules Joffrin,Marx Dormoy,True
Jules Joffrin,Notre-Dame des Champs,True
Notre-Dame des Champs,Vaugirard,True
Porte de Versailles,Vaugirard,True
Abbesses,Porte de Versailles,True
Gaîté,Saint-François-Xavier,True
Asnières - Gennevilliers Les Courtilles,Gaîté,True
Asnières - Gennevilliers Les Courtilles,Porte de Saint-Ouen,True
Carrefour Pleyel,Porte de Saint-Ouen,True
Carrefour Pleyel,Garibaldi,True
Garibaldi,Place de Clichy,True
Miromesnil,Place de Clichy,True
Invalides,Miromesnil,True
Invalides,Plaisance,True
Les Agnettes,Plaisance,True
Les Agnettes,Porte de Clichy,True
