Identifiant station,Nom de la Station,Nom de la ligne,Niveau de pollution aux particules,Niveau de pollution,Incertitude,Recommandation de surveillance,Action(s) QAI en cours,stop_lon,stop_lat,air,niveau_pollution
IDFM:490851,Chevilly-Larue (Marché International),Métro 14,pas de données,pas de données,Évaluation : impossible faute d’informations,non,,2.367374604185919,48.75848356146962,,pas de données
IDFM:462963,République,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3633023407804536,48.86751235781114,,pollution moyenne
IDFM:22082,Franklin D. Roosevelt,Métro 1,pollution faible,FAIBLE,Évaluation : mesures permanentes,non,,2.309359666519628,48.8691648256349,,pollution faible
IDFM:22152,Château Rouge,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3495819680256598,48.88724193064896,,pollution faible
IDFM:462985,Pont de Levallois - Bécon,Métro 3,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.28030375318625,48.89722831603318,,pollution faible
IDFM:24687,Danube,Métro 7B,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.393228471227492,48.88194921492064,,pollution moyenne
IDFM:22238,Mairie de Clichy,Métro 13,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3058484063578857,48.90349897462669,,pollution moyenne
IDFM:463026,Place d'Italie,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.355330902236442,48.83154938471729,,pollution moyenne
IDFM:21985,Chardon Lagache,Métro 10,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.26690547594029,48.84508829917885,,pollution faible
IDFM:462968,Rennes,Métro 12,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.32802068556793,48.84819024311401,,pollution moyenne
IDFM:480341,Saint-Ouen,Métro 14,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3227559546697414,48.90516956991565,,pollution moyenne
IDFM:463115,Bonne Nouvelle,Métro 8,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.348496122542364,48.87048144580479,,pollution moyenne
IDFM:22381,Opéra,Métro 7,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3324387808144875,48.87030303390994,,pollution faible
IDFM:22101,La Défense (Grande Arche),Métro 1,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.237988183098828,48.89181786646099,,pollution faible
