station1,station2,connected,temps_trajet_min,pollution_moyenne,pollution_station1,pollution_station2,lat_station1,lon_station1,lat_station2,lon_station2,ligne_metro
Château de Vincennes,Bérault,True,0.78,1.0,FAIBLE,FAIBLE,48.84431751431355,2.440540095406114,48.84549169626708,2.4292278831660283,Métro 1
Châtelet,Louvre - Rivoli,True,0.37,1.5,MOYENNE,FAIBLE,48.85922471342816,2.3457609541847755,48.86090733426327,2.3409964272720227,Métro 1
Châtelet,Hôtel de Ville,True,0.47,1.5,MOYENNE,FAIBLE,48.85922471342816,2.3457609541847755,48.85735240518587,2.3520676701391,Métro 1
Esplanade de la Défense,Pont de Neuilly,True,0.65,2.0,MOYENNE,MOYENNE,48.88834989394862,2.249931086743073,48.88548938897471,2.258495429369125,Métro 1
Esplanade de la Défense,La Défense (Grande Arche),True,0.88,1.5,MOYENNE,FAIBLE,48.88834989394862,2.249931086743073,48.89181786646099,2.237988183098828,Métro 1
George V,Charles de Gaulle - Etoile,True,0.43,1.0,FAIBLE,FAIBLE,48.87203776458909,2.300759784978918,48.87392926445533,2.2951172138230334,Métro 1
George V,Franklin D. Roosevelt,True,0.65,1.0,FAIBLE,FAIBLE,48.87203776458909,2.300759784978918,48.8691648256349,2.309359666519628,Métro 1
Les Sablons,Porte Maillot,True,0.79,1.5,MOYENNE,FAIBLE,48.88129083793358,2.271904762259129,48.87816265364455,2.2825838473615496,Métro 1
Les Sablons,Pont de Neuilly,True,1.0,2.0,MOYENNE,MOYENNE,48.88129083793358,2.271904762259129,48.88548938897471,2.258495429369125,Métro 1
Nation,Reuilly - Diderot,True,0.68,1.5,MOYENNE,FAIBLE,48.848084289973976,2.3958439887237373,48.84734982784612,2.3858367760086865,Métro 1
Nation,Porte de Vincennes,True,1.02,2.0,MOYENNE,MOYENNE,48.848084289973976,2.3958439887237373,48.84700773108863,2.4108049967015006,Métro 1
Saint-Mandé,Porte de Vincennes,True,0.56,2.0,MOYENNE,MOYENNE,48.84622934735893,2.418989706343808,48.84700773108863,2.4108049967015006,Métro 1
Saint-Mandé,Bérault,True,0.7,1.5,MOYENNE,FAIBLE,48.84622934735893,2.418989706343808,48.84549169626708,2.4292278831660283,Métro 1
Franklin D. Roosevelt,Champs-Elysées - Clemenceau,True,0.38,1.0,FAIBLE,FAIBLE,48.8691648256349,2.309359666519628,48.86758395955256,2.314397292025236,Métro 1
Hôtel de Ville,Saint-Paul (Le Marais),True,0.64,1.0,FAIBLE,FAIBLE,48.85735240518587,2.3520676701391,48.85518742160445,2.3608852562751967,Métro 1
Reuilly - Diderot,Gare de Lyon,True,0.88,1.5,FAIBLE,MOYENNE,48.84734982784612,2.3858367760086865,48.84575948671397,2.373125016776689,Métro 1
Tuileries,Concorde,True,0.5,1.0,FAIBLE,FAIBLE,48.864477839314645,2.3296780947116416,48.86655799294972,2.3229614457982586,Métro 1
Tuileries,Palais Royal - Musée du Louvre,True,0.51,1.5,FAIBLE,MOYENNE,48.864477839314645,2.3296780947116416,48.86222226557415,2.336454367754252,Métro 1
Gare de Lyon,Bastille,True,0.7,2.0,MOYENNE,MOYENNE,48.84575948671397,2.373125016776689,48.85196422011205,2.368692796099789,Métro 1
Saint-Paul (Le Marais),Bastille,True,0.62,1.5,FAIBLE,MOYENNE,48.85518742160445,2.3608852562751967,48.85196422011205,2.368692796099789,Métro 1
Champs-Elysées - Clemenceau,Concorde,True,0.59,1.0,FAIBLE,FAIBLE,48.86758395955256,2.314397292025236,48.86655799294972,2.3229614457982586,Métro 1
Louvre - Rivoli,Palais Royal - Musée du Louvre,True,0.34,1.5,FAIBLE,MOYENNE,48.86090733426327,2.3409964272720227,48.86222226557415,2.336454367754252,Métro 1
Argentine,Charles de Gaulle - Etoile,True,0.42,1.0,FAIBLE,FAIBLE,48.87566737659971,2.289435418542214,48.87392926445533,2.2951172138230334,Métro 1
Argentine,Porte Maillot,True,0.53,1.0,FAIBLE,FAIBLE,48.87566737659971,2.289435418542214,48.87816265364455,2.2825838473615496,Métro 1
Boulogne Jean Jaurès,Boulogne Pont de Saint-Cloud,True,0.74,2.0,MOYENNE,MOYENNE,48.841991575324506,2.239077780728926,48.84067248206251,2.2283125898228056,Métro 10
Boulogne Jean Jaurès,Porte d'Auteuil,True,1.44,2.0,MOYENNE,MOYENNE,48.841991575324506,2.239077780728926,48.84790412362924,2.258280744595537,Métro 10
Cardinal Lemoine,Jussieu,True,0.25,1.5,MOYENNE,FAIBLE,48.84670003526311,2.3513280016731763,48.8462878950311,2.354944184375758,Métro 10
Cardinal Lemoine,Maubert - Mutualité,True,0.41,2.0,MOYENNE,MOYENNE,48.84670003526311,2.3513280016731763,48.85010969451494,2.348219343927666,Métro 10
Charles Michels,Javel - André Citroën,True,0.52,2.0,MOYENNE,MOYENNE,48.84636172348247,2.2856243417995747,48.84618110622323,2.278009496527359,Métro 10
Charles Michels,Avenue Emile Zola,True,0.64,2.0,MOYENNE,MOYENNE,48.84636172348247,2.2856243417995747,48.84703801370517,2.2950189971435506,Métro 10
Gare d'Austerlitz,Jussieu,True,0.76,1.5,MOYENNE,FAIBLE,48.84228236697996,2.364395394600644,48.8462878950311,2.354944184375758,Métro 10
Javel - André Citroën,Mirabeau,True,0.35,2.0,MOYENNE,MOYENNE,48.84618110622323,2.278009496527359,48.84707750734599,2.2730641263728333,Métro 10
Mabillon,Odéon,True,0.38,1.5,FAIBLE,MOYENNE,48.85284373829949,2.335142819346476,48.8519477060765,2.340619126473996,Métro 10
Mabillon,Sèvres - Babylone,True,0.64,1.5,FAIBLE,MOYENNE,48.85284373829949,2.335142819346476,48.85093150598804,2.326104689925573,Métro 10
Michel-Ange - Molitor,Michel-Ange - Auteuil,True,0.32,2.0,MOYENNE,MOYENNE,48.84515597018703,2.2618218573220084,48.84797535417627,2.263989525333329,Métro 10
Michel-Ange - Molitor,Chardon Lagache,True,0.34,1.5,MOYENNE,FAIBLE,48.84515597018703,2.2618218573220084,48.84508829917885,2.26690547594029,Métro 10
Odéon,Cluny - La Sorbonne,True,0.32,2.0,MOYENNE,MOYENNE,48.8519477060765,2.340619126473996,48.850793731720536,2.3450218824744566,Métro 10
La Motte-Picquet - Grenelle,Avenue Emile Zola,True,0.36,1.5,FAIBLE,MOYENNE,48.849532805857095,2.298684579816939,48.84703801370517,2.2950189971435506,Métro 10
La Motte-Picquet - Grenelle,Ségur,True,0.62,1.5,FAIBLE,MOYENNE,48.849532805857095,2.298684579816939,48.84716726999503,2.307137849403385,Métro 10
Chardon Lagache,Eglise d'Auteuil,True,0.26,1.5,FAIBLE,MOYENNE,48.84508829917885,2.26690547594029,48.84714336145718,2.269111389021892,Métro 10
Cluny - La Sorbonne,Maubert - Mutualité,True,0.23,2.0,MOYENNE,MOYENNE,48.850793731720536,2.3450218824744566,48.85010969451494,2.348219343927666,Métro 10
Mirabeau,Eglise d'Auteuil,True,0.27,2.0,MOYENNE,MOYENNE,48.84707750734599,2.2730641263728333,48.84714336145718,2.269111389021892,Métro 10
Ségur,Duroc,True,0.62,2.0,MOYENNE,MOYENNE,48.84716726999503,2.307137849403385,48.84675637808778,2.3162247549746047,Métro 10
Duroc,Vaneau,True,0.41,2.0,MOYENNE,MOYENNE,48.84675637808778,2.3162247549746047,48.84889457005888,2.321351242354736,Métro 10
Sèvres - Babylone,Vaneau,True,0.38,2.0,MOYENNE,MOYENNE,48.85093150598804,2.326104689925573,48.84889457005888,2.321351242354736,Métro 10
Goncourt,Belleville,True,0.45,2.0,MOYENNE,MOYENNE,48.8700070178386,2.3707644347484003,48.87198955568015,2.376684607718542,Métro 11
Goncourt,République,True,0.45,2.0,MOYENNE,MOYENNE,48.8700070178386,2.3707644347484003,48.86788497134881,2.3648796725347783,Métro 11
Mairie des Lilas,Porte des Lilas,True,0.71,1.5,MOYENNE,FAIBLE,48.87974365006289,2.4162978208011863,48.87723143067265,2.4065226763982275,Métro 11
Mairie des Lilas,Serge Gainsbourg,True,0.75,2.0,MOYENNE,MOYENNE,48.87974365006289,2.4162978208011863,48.88125303440166,2.427162168589524,Métro 11
Pyrénées,Jourdain,True,0.33,1.5,MOYENNE,FAIBLE,48.87381265491752,2.384883957748741,48.875247348641416,2.389325378910096,Métro 11
Pyrénées,Belleville,True,0.59,2.0,MOYENNE,MOYENNE,48.87381265491752,2.384883957748741,48.87198955568015,2.376684607718542,Métro 11
République,Arts et Métiers,True,0.63,2.0,MOYENNE,MOYENNE,48.86788497134881,2.3648796725347783,48.86529961264491,2.3565081436435467,Métro 11
Télégraphe,Place des Fêtes,True,0.39,2.0,MOYENNE,MOYENNE,48.87551038418075,2.3986480899605933,48.87672366197325,2.393139370360497,Métro 11
Télégraphe,Porte des Lilas,True,0.56,1.5,MOYENNE,FAIBLE,48.87551038418075,2.3986480899605933,48.87723143067265,2.4065226763982275,Métro 11
Jourdain,Place des Fêtes,True,0.3,1.5,FAIBLE,MOYENNE,48.875247348641416,2.389325378910096,48.87672366197325,2.393139370360497,Métro 11
Hôtel de Ville,Châtelet,True,0.24,2.0,MOYENNE,MOYENNE,48.85760073633446,2.3514239919428728,48.85776111354502,2.3478374055687867,Métro 11
Hôtel de Ville,Rambuteau,True,0.39,2.0,MOYENNE,MOYENNE,48.85760073633446,2.3514239919428728,48.86119015695036,2.353273948594772,Métro 11
Arts et Métiers,Rambuteau,True,0.48,2.0,MOYENNE,MOYENNE,48.86529961264491,2.3565081436435467,48.86119015695036,2.353273948594772,Métro 11
Romainville-Carnot,Serge Gainsbourg,True,0.95,2.0,MOYENNE,MOYENNE,48.88357423792701,2.440677444590172,48.88125303440166,2.427162168589524,Métro 11
Romainville-Carnot,Montreuil - Hôpital,True,1.09,2.0,MOYENNE,MOYENNE,48.88357423792701,2.440677444590172,48.878269829247664,2.4546692358364623,Métro 11
La Dhuys,Coteaux Beauclair,True,0.45,2.0,MOYENNE,MOYENNE,48.8780111916913,2.465116181953647,48.88212212689498,2.4673647804495924,Métro 11
La Dhuys,Montreuil - Hôpital,True,0.71,2.0,MOYENNE,MOYENNE,48.8780111916913,2.465116181953647,48.878269829247664,2.4546692358364623,Métro 11
Rosny-Bois-Perrier,Coteaux Beauclair,True,0.9,2.0,MOYENNE,MOYENNE,48.88302567942574,2.480609800808591,48.88212212689498,2.4673647804495924,Métro 11
Falguière,Pasteur,True,0.37,2.0,MOYENNE,MOYENNE,48.844317683534335,2.317551235617027,48.84282366881032,2.3126518981045816,Métro 12
Falguière,Montparnasse Bienvenue,True,0.44,2.0,MOYENNE,MOYENNE,48.844317683534335,2.317551235617027,48.84374228942691,2.32392211008296,Métro 12
Lamarck - Caulaincourt,Jules Joffrin,True,0.48,1.0,FAIBLE,FAIBLE,48.88968180996681,2.3385838243831936,48.892492268201934,2.3443200293804827,Métro 12
Lamarck - Caulaincourt,Abbesses,True,0.54,1.0,FAIBLE,FAIBLE,48.88968180996681,2.3385838243831936,48.88439271799143,2.338394635220906,Métro 12
Marx Dormoy,Marcadet - Poissonniers,True,0.67,2.0,MOYENNE,MOYENNE,48.89057957856722,2.359808478084024,48.89154760285429,2.3500246218070155,Métro 12
Marx Dormoy,Porte de la Chapelle,True,0.7,1.5,MOYENNE,FAIBLE,48.89057957856722,2.359808478084024,48.89740242267042,2.359248542310361,Métro 12
Notre-Dame des Champs,Rennes,True,0.32,1.5,FAIBLE,MOYENNE,48.84508150807547,2.328564944227944,48.84819024311401,2.32802068556793,Métro 12
Notre-Dame des Champs,Montparnasse Bienvenue,True,0.34,1.5,FAIBLE,MOYENNE,48.84508150807547,2.328564944227944,48.84374228942691,2.32392211008296,Métro 12
Pasteur,Volontaires,True,0.35,2.0,MOYENNE,MOYENNE,48.84282366881032,2.3126518981045816,48.84141172841498,2.3079833805768515,Métro 12
Sèvres - Babylone,Rennes,True,0.36,2.0,MOYENNE,MOYENNE,48.85156530639137,2.326859663121737,48.84819024311401,2.32802068556793,Métro 12
Sèvres - Babylone,Rue du Bac,True,0.45,2.0,MOYENNE,MOYENNE,48.85156530639137,2.326859663121737,48.85587553200213,2.3256727584985164,Métro 12
Volontaires,Vaugirard,True,0.51,1.5,MOYENNE,FAIBLE,48.84141172841498,2.3079833805768515,48.83953628376544,2.300977822126098,Métro 12
Abbesses,Pigalle,True,0.26,1.5,FAIBLE,MOYENNE,48.88439271799143,2.338394635220906,48.88201178841109,2.3371840091053384,Métro 12
Assemblée Nationale,Solférino,True,0.31,2.0,MOYENNE,MOYENNE,48.861122050080816,2.3206896796944263,48.85853194972854,2.323075964251541,Métro 12
Assemblée Nationale,Concorde,True,0.54,2.0,MOYENNE,MOYENNE,48.861122050080816,2.3206896796944263,48.86615003482594,2.323181449571859,Métro 12
Concorde,Madeleine,True,0.42,1.5,MOYENNE,FAIBLE,48.86615003482594,2.323181449571859,48.87003294090397,2.325169929034193,Métro 12
Madeleine,Saint-Lazare,True,0.59,1.5,FAIBLE,MOYENNE,48.87003294090397,2.325169929034193,48.875594817796994,2.327470237303278,Métro 12
Notre-Dame-de-Lorette,Saint-Georges,True,0.24,1.5,MOYENNE,FAIBLE,48.87604417483004,2.337900771823332,48.87841659490173,2.3375706403796697,Métro 12
Notre-Dame-de-Lorette,Trinité - d'Estienne d'Orves,True,0.33,2.0,MOYENNE,MOYENNE,48.87604417483004,2.337900771823332,48.87633650730735,2.333049172418236,Métro 12
Convention,Vaugirard,True,0.4,1.5,MOYENNE,FAIBLE,48.83713505380496,2.2963913864809173,48.83953628376544,2.300977822126098,Métro 12
Convention,Porte de Versailles,True,0.75,1.5,MOYENNE,FAIBLE,48.83713505380496,2.2963913864809173,48.83230151439446,2.28813294509322,Métro 12
Front Populaire,Aimé Césaire,True,0.85,1.5,MOYENNE,FAIBLE,48.90666420278779,2.365792023989413,48.90843758066954,2.37813084516706,Métro 12
Front Populaire,Porte de la Chapelle,True,1.05,1.5,MOYENNE,FAIBLE,48.90666420278779,2.365792023989413,48.89740242267042,2.359248542310361,Métro 12
Jules Joffrin,Marcadet - Poissonniers,True,0.4,1.5,FAIBLE,MOYENNE,48.892492268201934,2.3443200293804827,48.89154760285429,2.3500246218070155,Métro 12
Mairie d'Issy,Corentin Celton,True,0.45,2.0,MOYENNE,MOYENNE,48.82434428766646,2.273558168023932,48.82682329515912,2.2789586605256367,Métro 12
Saint-Lazare,Trinité - d'Estienne d'Orves,True,0.39,2.0,MOYENNE,MOYENNE,48.875594817796994,2.327470237303278,48.87633650730735,2.333049172418236,Métro 12
Corentin Celton,Porte de Versailles,True,0.84,1.5,MOYENNE,FAIBLE,48.82682329515912,2.2789586605256367,48.83230151439446,2.28813294509322,Métro 12
Pigalle,Saint-Georges,True,0.37,1.5,MOYENNE,FAIBLE,48.88201178841109,2.3371840091053384,48.87841659490173,2.3375706403796697,Métro 12
Solférino,Rue du Bac,True,0.32,2.0,MOYENNE,MOYENNE,48.85853194972854,2.323075964251541,48.85587553200213,2.3256727584985164,Métro 12
Aimé Césaire,Mairie d'Aubervilliers,True,0.57,1.5,FAIBLE,MOYENNE,48.90843758066954,2.37813084516706,48.913739225808136,2.3807826993163266,Métro 12
Brochant,La Fourche,True,0.5,1.0,FAIBLE,FAIBLE,48.89062201554889,2.3201902468999456,48.88742451051807,2.325686960766736,Métro 13
Brochant,Porte de Clichy,True,0.61,1.5,FAIBLE,MOYENNE,48.89062201554889,2.3201902468999456,48.89443128801746,2.31320835075881,Métro 13
Carrefour Pleyel,Mairie de Saint-Ouen,True,1.03,1.5,FAIBLE,MOYENNE,48.91973260804976,2.343534674183465,48.911958864732505,2.333893080685357,Métro 13
Carrefour Pleyel,Saint-Denis - Porte de Paris,True,1.35,1.5,FAIBLE,MOYENNE,48.91973260804976,2.343534674183465,48.92992275044576,2.3561729251016,Métro 13
Les Agnettes,Asnières - Gennevilliers Les Courtilles,True,0.78,1.0,FAIBLE,FAIBLE,48.92308777796361,2.286263202479002,48.93060364140038,2.284372100658843,Métro 13
Les Agnettes,Gabriel Péri,True,0.89,1.5,FAIBLE,MOYENNE,48.92308777796361,2.286263202479002,48.91634741814672,2.29460408001733,Métro 13
Liège,Place de Clichy,True,0.43,1.0,FAIBLE,FAIBLE,48.87953493737576,2.3268526712397555,48.88373789022764,2.327398345647013,Métro 13
Liège,Saint-Lazare,True,0.44,1.0,FAIBLE,FAIBLE,48.87953493737576,2.3268526712397555,48.87538131600797,2.325488390672613,Métro 13
Montparnasse Bienvenue,Gaîté,True,0.4,1.5,MOYENNE,FAIBLE,48.84231364506487,2.320983883036087,48.83852608502253,2.3223539967788067,Métro 13
Montparnasse Bienvenue,Duroc,True,0.57,2.0,MOYENNE,MOYENNE,48.84231364506487,2.320983883036087,48.84699198555429,2.316535081176305,Métro 13
Porte de Clichy,Mairie de Clichy,True,1.06,2.0,MOYENNE,MOYENNE,48.89443128801746,2.31320835075881,48.90349897462669,2.3058484063578857,Métro 13
Porte de Saint-Ouen,Guy Môquet,True,0.47,1.0,FAIBLE,FAIBLE,48.89749783732745,2.3290483407446505,48.8930014419616,2.327483258626126,Métro 13
Porte de Saint-Ouen,Garibaldi,True,0.93,1.0,FAIBLE,FAIBLE,48.89749783732745,2.3290483407446505,48.906372391923206,2.331962553647662,Métro 13
Basilique de Saint-Denis,Saint-Denis - Porte de Paris,True,0.74,2.0,MOYENNE,MOYENNE,48.93678306532419,2.3592958408126816,48.92992275044576,2.3561729251016,Métro 13
Basilique de Saint-Denis,Saint-Denis - Université,True,1.0,2.0,MOYENNE,MOYENNE,48.93678306532419,2.3592958408126816,48.945911458883856,2.364494290510317,Métro 13
Gaîté,Pernety,True,0.52,1.0,FAIBLE,FAIBLE,48.83852608502253,2.3223539967788067,48.83416372097089,2.318323659736018,Métro 13
Invalides,Varenne,True,0.4,1.5,FAIBLE,MOYENNE,48.86053445554123,2.3146399951225347,48.85662420264694,2.3149776470363417,Métro 13
Invalides,Champs-Elysées - Clemenceau,True,0.72,1.0,FAIBLE,FAIBLE,48.86053445554123,2.3146399951225347,48.86750083759083,2.31401668387612,Métro 13
Place de Clichy,La Fourche,True,0.4,1.0,FAIBLE,FAIBLE,48.88373789022764,2.327398345647013,48.88742451051807,2.325686960766736,Métro 13
Garibaldi,Mairie de Saint-Ouen,True,0.59,1.5,FAIBLE,MOYENNE,48.906372391923206,2.331962553647662,48.911958864732505,2.333893080685357,Métro 13
Miromesnil,Champs-Elysées - Clemenceau,True,0.63,1.0,FAIBLE,FAIBLE,48.87344791579522,2.3160106931210245,48.86750083759083,2.31401668387612,Métro 13
Miromesnil,Saint-Lazare,True,0.67,1.0,FAIBLE,FAIBLE,48.87344791579522,2.3160106931210245,48.87538131600797,2.325488390672613,Métro 13
Gabriel Péri,Mairie de Clichy,True,1.52,2.0,MOYENNE,MOYENNE,48.91634741814672,2.29460408001733,48.90349897462669,2.3058484063578857,Métro 13
Pernety,Plaisance,True,0.39,1.5,FAIBLE,MOYENNE,48.83416372097089,2.318323659736018,48.83175036306747,2.313860489344306,Métro 13
